HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Aada (Pepperment Sister)",2004,"w"
"Aaliyah",2005,"w"
"Aaliyah",2011,"w"
"Aaliyah",2015,"w"
"Aaran vom Blauort",2010,"m"
"Aaron",2005,"m"
"Aaron",2011,"m"
"Aaron",2011,"m"
"Abba",2011,"w"
"Abbey",2011,"w"
"Abby",2010,"w"
"Abby (Abbygail)",2013,"w"
"Abenaki Cibor",2014,"m"
"Abenaki Dakil",2016,"m"
"Abisko vom Nünbrunnental",2014,"m"
"Abraxa",2007,"w"
"Abraxas",2004,"m"
"Ace",2014,"m"
"Achat",2005,"m"
"Achilles",2011,"m"
"Achilles",2004,"m"
"Achilles de Biaska",2016,"m"
"Acoma",2014,"w"
"Acqua",2005,"m"
"Adam",2015,"m"
"Addison",2009,"w"
"Adia Adlerstein",2008,"w"
"A-Diana",2006,"w"
"Adonis",2013,"m"
"Aeneas",2007,"m"
"Affra vom Wiler-Berg",2012,"w"
"Afra",2003,"w"
"Aicha",2003,"w"
"Aichan",2003,"m"
"Aicko",2004,"m"
"Aico v. Lindenberg",2009,"m"
"Aida",2009,"w"
"Aika",2004,"w"
"Aika",2003,"w"
"Aiko",2004,"m"
"Aiko",2016,"m"
"Aiko",2010,"m"
"Aiko",2009,"m"
"Aila",2008,"w"
"Ailou vom Schwaneby",2016,"m"
"Aira",2004,"w"
"Airon",2010,"m"
"Aischa",2004,"w"
"Aischa",2008,"w"
"Aischa",2004,"w"
"Aischa",2007,"w"
"Aisha",2004,"w"
"Aisha",2004,"w"
"Aisha",2008,"w"
"Aisha",2010,"w"
"Aisha",2013,"w"
"Aisha",2004,"w"
"Aisha",2012,"w"
"Aisha",2016,"w"
"Aisha Kianga",2012,"w"
"Aishe",2014,"w"
"Ajana",2015,"w"
"Ajani",2014,"m"
"Ajla",2013,"w"
"Ajoya",2004,"w"
"Akando-Abucco v. Ritters Glück",2014,"m"
"Akela Sugar Dogs v. Donaugart.",2016,"w"
"Akeyaa",2007,"w"
"Aki",2010,"m"
"Akido",2010,"m"
"Akina",2014,"w"
"Akira",2015,"w"
"Akira",2004,"w"
"Akira",2015,"w"
"Akira",2009,"w"
"Akira Sambesi",2008,"w"
"Akira-Vidi",2015,"w"
"Akita",2015,"w"
"Akita",2015,"w"
"Akosambo's Black Massai Ulani",2012,"w"
"Aku Kji Shen",2009,"m"
"Akuma",2012,"w"
"Ala",2014,"m"
"Alan",2009,"m"
"Alaska",2010,"m"
"Alaska",2008,"w"
"Alba",2012,"w"
"Alba",2005,"w"
"Alberta",2005,"w"
"Ale Coco",2010,"w"
"Alebrije",2009,"m"
"Alegria",2009,"w"
"Alek",2014,"m"
"Alessia",2005,"w"
"Alessio",2015,"m"
"Alex",2012,"m"
"Alex",2014,"m"
"Alex",2004,"m"
"Alex",2003,"m"
"Alex",2014,"m"
"Alex",2006,"m"
"Alex",2006,"m"
"Alex",2007,"m"
"Alex von Sareni",2011,"m"
"Alfa (Pia)",2001,"w"
"Alfie",2009,"m"
"Algarvio (Casa Rastys Amigo)",2014,"m"
"Ali (Ally)",2016,"w"
"Aliah",2012,"w"
"Alibaba",2006,"m"
"Alice",2010,"w"
"Alice",2008,"w"
"Alice",2009,"w"
"Alicia",2008,"w"
"Alida",2006,"w"
"Alin",2010,"w"
"Alina",2011,"w"
"Aline",2010,"w"
"Alinghi",2006,"w"
"Alinghi",2009,"w"
"Alino",2006,"w"
"Alisha",2014,"w"
"Alisha",2006,"w"
"Alisha v. Sertel",2010,"w"
"Alisia (Rosa)",2016,"w"
"Aliz",2007,"w"
"Aljoscha",2013,"m"
"Aljusha",2003,"m"
"Allegra",2007,"w"
"Allegra",2010,"w"
"Allegra",2007,"w"
"Allegra",2013,"w"
"Allegra vom Seedorf",2016,"w"
"Allwut",2009,"w"
"Ally",2015,"w"
"Ally",2013,"w"
"Alma",2008,"w"
"Alma (Sanel)",2012,"w"
"Alpha",2011,"w"
"Alpha",2005,"m"
"Alvin",2013,"m"
"Alvin",2005,"m"
"Alvin (Aramis) Bully",2016,"m"
"Alwin Chamvik",2014,"m"
"Aly von den Sarazenentürmen",2012,"m"
"Alya",2014,"w"
"Ama",2013,"w"
"Amadeus",2004,"m"
"Amala",2003,"w"
"Amanda",1999,"w"
"Amandob's Lady Arya",2015,"w"
"Amar",2014,"m"
"Amara",2007,"w"
"Amaretto",2011,"m"
"Amaru",2016,"m"
"Amazing Adel. fr.Sands.(Bonita",2007,"w"
"Amazing Louis",2014,"m"
"Amber",2016,"w"
"Amber",2013,"w"
"Amber",2013,"w"
"Amber (Peggy)",2013,"w"
"Ameli",2012,"w"
"Amelia",2012,"w"
"Amelie",2016,"w"
"Amelie (Anneli)",2006,"w"
"Amélie-Milly",2017,"w"
"Amia (Thaikru)",2006,"w"
"Amico",2001,"m"
"Amie",2004,"w"
"Amigo",2008,"m"
"Amigo",2003,"m"
"Amigo",2011,"m"
"Amigo",2011,"m"
"Amil",2012,"m"
"Amina",2005,"w"
"Amira",2009,"w"
"Amira",2010,"w"
"Amira",2008,"w"
"Amira",2009,"w"
"Amira",2014,"w"
"Amiro",2011,"m"
"Amo (Zorro)",2011,"m"
"Amon",2002,"m"
"Amor",2005,"m"
"Amor",2012,"m"
"Amor",2004,"m"
"Amor",2009,"m"
"Amor",2015,"m"
"Amor",2011,"m"
"Amore",2010,"w"
"Amore mio",2010,"m"
"Amos",2015,"m"
"Amos",2012,"m"
